tatripid,log_time,stop_name,stop_id,route_id,direction,scheduled_start_date,scheduled_start_time,actual_arrival_time,scheduled_arrival_time
5955,2023-12-11T18:13,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,17:53,18:15,18:13
6567,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,18:02,18:36,18:19
6571,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,18:28,18:45,18:45
5957,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,18:27,18:45,18:45
6573,2023-12-11T18:30,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,18:34,18:46,18:50
6568,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,18:13,18:49,18:30
9477,2023-12-11T18:36,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,18:37,18:53,18:49
6572,2023-12-11T18:35,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,18:31,18:59,18:48
5958,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,18:47,19:02,19:02
10745,2023-12-11T19:04,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,18:40,19:05,19:00
9480,2023-12-11T19:05,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,18:57,19:07,19:09
6574,2023-12-11T19:06,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,18:48,19:07,19:05
6576,2023-12-11T19:16,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,18:54,19:16,19:10
9158,2023-12-11T19:18,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,19:00,19:19,19:12
5959,2023-12-11T19:24,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,19:07,19:24,19:21
6577,2023-12-11T19:24,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,19:06,19:25,19:22
6575,2023-12-11T19:24,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,18:51,19:25,19:08
10746,2023-12-11T19:24,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,19:00,19:26,19:19
9280,2023-12-11T19:24,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,18:45,19:28,19:23
9159,2023-12-11T19:27,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,19:10,19:28,19:25
9483,2023-12-11T19:28,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,19:20,19:32,19:32
6579,2023-12-11T19:32,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,19:14,19:35,19:30
6578,2023-12-11T19:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,19:11,19:39,19:26
6580,2023-12-11T19:39,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,19:26,19:42,19:42
